"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"PCLN","The Priceline Group Inc. ","1918.5","94279763466","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/pcln",
"NCTY","The9 Limited","1.08","20489252.4","18971530","2004","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ncty",
"TIVO","TiVo Corporation","18.5","2240035500","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/tivo",
"TSS","Total System Services, Inc.","58.66","10795267962.92","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/tss",
"TNET","TriNet Group, Inc.","32.99","2262414249.11","n/a","2014","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/tnet",
"ULBI","Ultralife Corporation","7.15","110820030.75","n/a","1992","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/ulbi",
"USAT","USA Technologies, Inc.","5.25","211741136.25","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/usat",
"USATP","USA Technologies, Inc.","22.05","9813639.15","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/usatp",
"VNTV","Vantiv, Inc.","61.12","12045165569.28","n/a","2012","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/vntv",
"PAY","Verifone Systems, Inc.","17.85","1996270011.75","n/a","2005","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/pay",
"VVI","Viad Corp","47.65","971104283.95","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/vvi",
"VHC","VirnetX Holding Corp","4.65","270373729.2","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/vhc",
"V","Visa Inc.","93.92","216548271688.96","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/v",
"WAGE","WageWorks, Inc.","65.05","2421950381.75","n/a","2012","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/wage",
"WBMD","WebMD Health Corp","59.1","2235015668.4","n/a","2005","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/wbmd",
"WSTC","West Corporation","23.31","1984940415.99","n/a","2013","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/wstc",
"WU","Western Union Company (The)","18.65","8788890438.35","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/wu",
"WEX","WEX Inc.","107.7","4619389671.3","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/wex",
"WNS","WNS (Holdings) Limited","34.04","1702427508.36","n/a","2006","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/wns",
"XELB","Xcel Brands, Inc","3.2","59032614.4","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/xelb",
"XRX","Xerox Corporation","28.78","1828581247.06","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/xrx",
"Z","Zillow Group, Inc.","46.5","8556122992.5","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/z",
"ZG","Zillow Group, Inc.","46.56","8567163151.2","n/a","2011","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/zg",
