"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"NEM","Newmont Mining Corporation","32.03","17079462406.82","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/nem",
"NXE","Nexgen Energy Ltd.","2.22","694802506.44","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/nxe",
"NL","NL Industries, Inc.","7.55","367729424.2","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/nl",
"OSB","Norbord Inc.","30.88","2658624994.72","n/a","n/a","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/osb",
"NAK","Northern Dynasty Minerals, Ltd.","1.26","382500748.98","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/nak",
"NWPX","Northwest Pipe Company","16.08","154445360.88","n/a","1995","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/nwpx",
"NG","Novagold Resources Inc.","4.39","1412111114.78","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ng",
"NUE","Nucor Corporation","58.2","18568818019.2","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/nue",
"OCIP","OCI Partners LP","9","782978310","n/a","2013","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ocip",
"OLN","Olin Corporation","30.1","4993305886.1","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/oln",
"ZEUS","Olympic Steel, Inc.","18.62","204147129.06","n/a","1994","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/zeus",
"OMN","OMNOVA Solutions Inc.","9.9","444623780.7","n/a","n/a","Basic Industries","Specialty Chemicals","http://www.nasdaq.com/symbol/omn",
"OCC","Optical Cable Corporation","2.536","18677731.296","n/a","n/a","Basic Industries","Telecommunications Equipment","http://www.nasdaq.com/symbol/occ",
"TIS","Orchids Paper Products Company","11.83","121883200.53","n/a","2005","Basic Industries","Paper","http://www.nasdaq.com/symbol/tis",
"OEC","Orion Engineered Carbons S.A","20.25","1201234333.5","n/a","2014","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/oec",
"ORN","Orion Group Holdings, Inc.","7.22","200654456.72","n/a","n/a","Basic Industries","Military/Government/Technical","http://www.nasdaq.com/symbol/orn",
"OR","Osisko Gold Royalties Ltd","11.94","1273569580.86","n/a","2016","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/or",
"OSN","Ossen Innovation Co., Ltd.","2.17","4304273.12","1983536","2010","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/osn",
"PEIX","Pacific Ethanol, Inc.","6.35","277551165.75","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/peix",
"PAAS","Pan American Silver Corp.","15.47","2369302806.78","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/paas",
"PZG","Paramount Gold Nevada Corp.","1.41","25069735.14","n/a","2015","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/pzg",
"PATK","Patrick Industries, Inc.","72.95","1222936426.2","n/a","n/a","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/patk",
"PESI","Perma-Fix Environmental Services, Inc.","3.5","40944214.5","n/a","n/a","Basic Industries","Environmental Services","http://www.nasdaq.com/symbol/pesi",
"PGLC","Pershing Gold Corporation","2.72","77281872.16","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/pglc",
"PAH","Platform Specialty Products Corporation","12.71","3637309110.76","n/a","2014","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/pah",
"PLG","Platinum Group Metals Ltd.","0.728","108076104.136","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/plg",
"PGEM","Ply Gem Holdings, Inc.","17.3","1183557615.5","n/a","2013","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/pgem",
"PLM","Polymet Mining Corp.","0.6","191168978.4","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/plm",
"POL","PolyOne Corporation","38.37","3136975763.13","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/pol",
"PKX","POSCO","64.53","20649005033.4","n/a","1994","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/pkx",
